original word,preprocessed word 1 (lacksknowledge to NA),preprocessed word 2 (no spaces),preprocessed word 3 (lemmatized),preprocessed word 4 (minus one trailing s),Positive valence,Negative valence,Neutral valence,Sum,Sociability dictionary,Sociability direction,Morality dictionary,Morality direction,Ability dictionary,Ability direction,Agency dictionary,Agency direction,health dictionary,health direction,Status dictionary,Status direction,work dictionary,work direction,Politics dictionary,Politics direction,Religion dictionary,Religion direction,beliefs_other dictionary,beliefs_other direction,inhabitant dictionary,country dictionary,feelings dictionary,relatives dictionary,clothing dictionary,ordinariness dictionary,ordinariness direction,body_part dictionary,body_property dictionary,skin dictionary,body_covering dictionary,beauty dictionary,beauty direction,insults dictionary,stem dictionary,humanities dictionary,art dictionary,social_groups dictionary,Lacks_knowledge dictionary,fortune dictionary
aa,aa,aa,aa,aa,0,0,1,1,0,NA,0,NA,0,NA,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
ab,ab,ab,ab,ab,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,0,0,0
aba,aba,aba,aba,aba,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abandon,abandon,abandon,abandon,abandon,0.06,0.38,0.56,2,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abandoned infant,abandoned infant,abandonedinfant,abandonedinfant,abandonedinfant,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abase,abase,abase,abase,abase,0,0.62,0.38,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abaya,abaya,abaya,abaya,abaya,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abbe,abbe,abbe,abbe,abbe,0.12,0,0.88,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abbess,abbess,abbess,abbess,abbes,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abbot,abbot,abbot,abbot,abbot,0.5,0,0.5,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abbreviate,abbreviate,abbreviate,abbreviate,abbreviate,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abdomen,abdomen,abdomen,abdomen,abdomen,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,0,0,0
abdominal,abdominal,abdominal,abdominal,abdominal,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,0,0,0
abduct,abduct,abduct,abduct,abduct,0,0.12,0.88,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abduction,abduction,abduction,abduction,abduction,0,1,0,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abductor,abductor,abductor,abductor,abductor,0,0,1,2,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,0,0,0
Abecedarian,abecedarian,abecedarian,abecedarian,abecedarian,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
aberrant,aberrant,aberrant,aberrant,aberrant,0.5,0.12,0.38,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abet,abet,abet,abet,abet,0,0,1,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abetter,abetter,abetter,abetter,abetter,0,0,1,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abettor,abettor,abettor,abettor,abettor,0,0,1,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abhor,abhor,abhor,abhor,abhor,0,0.25,0.75,2,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abhorrence,abhorrence,abhorrence,abhorrence,abhorrence,0,0.38,0.62,2,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abhorrent,abhorrent,abhorrent,abhorrent,abhorrent,0,0.75,0.25,2,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,0,0,0,0,0
abide,abide,abide,abide,abide,0,0.5,0.5,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
ability,ability,ability,ability,ability,0.31,0.06,0.63,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abject,abject,abject,abject,abject,0.62,0,0.38,1,0,NA,0,NA,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
able,able,able,able,able,0.12,0,0.88,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
able seaman,able seaman,ableseaman,ableseaman,ableseaman,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
ableism,ableism,ableism,ableism,ableism,0.25,0.12,0.63,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abnegation,abnegation,abnegation,abnegation,abnegation,0.12,0,0.88,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abnormal,abnormal,abnormal,abnormal,abnormal,0,0.75,0.25,2,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,-1,0,0,0,0,0,NA,0,0,0,0,0,0,0
abnormal psychology,abnormal psychology,abnormalpsychology,abnormalpsychology,abnormalpsychology,0.12,0,0.88,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
abnormality,abnormality,abnormality,abnormality,abnormality,0.21,0.33,0.46,2,0,NA,0,NA,0,NA,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,-1,0,0,0,0,0,NA,0,0,0,0,0,0,0
abolitionism,abolitionism,abolitionism,abolitionism,abolitionism,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abolitionist,abolitionist,abolitionist,abolitionist,abolitionist,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,-1,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abominable,abominable,abominable,abominable,abominable,0,0.56,0.44,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abominable snowman,abominable snowman,abominablesnowman,abominablesnowman,abominablesnowman,0,0,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
abominate,abominate,abominate,abominate,abominate,0,0.25,0.75,1,0,NA,1,-1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
