Dictionary,term,term preproc,PoS,sense,Dir
Sociability,sociability,sociability,NOUN,1,high
Sociability,unsociability,unsociability,NOUN,1,low
Sociability,sociable,sociable,ADJECTIVE,1,high
Sociability,unsociable,unsociable,ADJECTIVE,1,low
Sociability,friendliness,friendlines,NOUN,1,high
Sociability,friendliness,friendlines,NOUN,2,high
Sociability,unfriendliness,unfriendlines,NOUN,1,low
Sociability,unfriendliness,unfriendlines,NOUN,2,low
Sociability,friendly,friendly,ADJECTIVE,1,high
Sociability,friendly,friendly,ADJECTIVE,2,high
Sociability,unfriendly,unfriendly,ADJECTIVE,2,low
Sociability,unfriendly,unfriendly,ADJECTIVE,3,low
Sociability,cold,cold,ADJECTIVE,2,low
Sociability,coldness,coldnes,NOUN,2,low
Sociability,warm,warm,ADJECTIVE,2,high
Sociability,warmth,warmth,NOUN,2,high
Sociability,warmth,warmth,NOUN,5,high
Sociability,likable,likable,ADJECTIVE,1,high
Sociability,likable,likable,ADJECTIVE,2,high
Sociability,repellent,repellent,ADJECTIVE,1,low
Sociability,pleasant,pleasant,ADJECTIVE,2,high
Sociability,unpleasant,unpleasant,ADJECTIVE,1,low
Sociability,unlikable,unlikable,ADJECTIVE,1,low
Sociability,unlikable,unlikable,ADJECTIVE,2,low
Sociability,liked,liked,ADJECTIVE,1,high
Sociability,disliked,disliked,ADJECTIVE,1,low
Sociability,outgoing,outgoing,ADJECTIVE,3,high
Sociability,shy,shy,ADJECTIVE,1,low
Sociability,sensitive,sensitive,ADJECTIVE,2,high
Sociability,insensitive,insensitive,ADJECTIVE,2,low
Sociability,affectionate,affectionate,ADJECTIVE,1,high
Sociability,unaffectionate,unaffectionate,ADJECTIVE,1,low
Sociability,distant,distant,ADJECTIVE,3,low
Sociability,unreserved,unreserved,ADJECTIVE,2,high
Sociability,open,open,ADJECTIVE,20,high
Sociability,caring,caring,ADJECTIVE,1,high
Sociability,uncaring,uncaring,ADJECTIVE,1,low
Sociability,sympathetic,sympathetic,ADJECTIVE,2,high
Sociability,sympathetic,sympathetic,ADJECTIVE,3,high
Sociability,sympathetic,sympathetic,ADJECTIVE,4,high
Sociability,unsympathetic,unsympathetic,ADJECTIVE,2,low
Sociability,unsympathetic,unsympathetic,ADJECTIVE,4,low
Sociability,sympathy,sympathy,NOUN,3,high
Sociability,helpful,helpful,ADJECTIVE,1,high
Sociability,unhelpful,unhelpful,ADJECTIVE,1,low
Sociability,understanding,understanding,ADJECTIVE,1,high
Sociability,supportive,supportive,ADJECTIVE,1,high
Sociability,unsupportive,unsupportive,ADJECTIVE,1,low
Sociability,polite,polite,ADJECTIVE,1,high
Sociability,impolite,impolite,ADJECTIVE,1,low
Sociability,aloof,aloof,ADJECTIVE,1,low
Sociability,civil,civil,ADJECTIVE,2,high
Sociability,rude,rude,ADJECTIVE,1,low
Sociability,antisocial,antisocial,ADJECTIVE,1,low
Sociability,antisocial,antisocial,ADJECTIVE,2,low
Sociability,social,social,ADJECTIVE,4,high
Sociability,social,social,ADJECTIVE,5,high
Sociability,social,social,ADJECTIVE,6,high
Sociability,unsocial,unsocial,ADJECTIVE,1,low
Sociability,asocial,asocial,ADJECTIVE,1,low
Sociability,asocial,asocial,ADJECTIVE,2,low
Sociability,humorous,humorou,ADJECTIVE,1,high
Sociability,funny,funny,ADJECTIVE,1,high
Sociability,boring,boring,ADJECTIVE,1,low
Sociability,popular,popular,ADJECTIVE,1,high
Sociability,unpopular,unpopular,ADJECTIVE,1,low
Sociability,nice,nice,ADJECTIVE,1,high
Sociability,nasty,nasty,ADJECTIVE,1,low
Sociability,sentimental,sentimental,ADJECTIVE,1,high
Sociability,forthcoming,forthcoming,ADJECTIVE,1,high
Sociability,tender,tender,ADJECTIVE,1,high
Sociability,tender,tender,ADJECTIVE,3,high
Sociability,agreeable,agreeable,ADJECTIVE,1,high
Sociability,disagreeable,disagreeable,ADJECTIVE,2,low
Sociability,rough,rough,ADJECTIVE,2,low
Sociability,rough,rough,ADJECTIVE,7,low
Sociability,rough,rough,ADJECTIVE,13,low
Sociability,rough,rough,ADJECTIVE,14,low
Sociability,welcoming,welcoming,ADJECTIVE,1,high
Sociability,inhospitable,inhospitable,ADJECTIVE,2,low
Sociability,hospitable,hospitable,ADJECTIVE,2,high
Sociability,thoughtful,thoughtful,ADJECTIVE,5,high
Sociability,inconsiderate,inconsiderate,ADJECTIVE,1,low
Sociability,timid,timid,ADJECTIVE,1,low
Sociability,timid,timid,ADJECTIVE,2,low
Morality,morality,morality,NOUN,1,high
Morality,morality,morality,NOUN,2,high
Morality,moral,moral,ADJECTIVE,1,high
Morality,immoral,immoral,ADJECTIVE,1,low
Morality,immoral,immoral,ADJECTIVE,2,low
Morality,trustworthiness,trustworthines,NOUN,1,high
Morality,trustworthy,trustworthy,ADJECTIVE,1,high
Morality,untrustworthiness,untrustworthines,NOUN,1,low
Morality,untrustworthy,untrustworthy,ADJECTIVE,1,low
Morality,sincere,sincere,ADJECTIVE,1,high
Morality,insincere,insincere,ADJECTIVE,1,low
Morality,honest,honest,ADJECTIVE,1,high
Morality,honest,honest,ADJECTIVE,2,high
Morality,honest,honest,ADJECTIVE,3,high
Morality,dishonest,dishonest,ADJECTIVE,1,low
Morality,dishonest,dishonest,ADJECTIVE,2,low
Morality,egoistic,egoistic,ADJECTIVE,1,low
Morality,altruistic,altruistic,ADJECTIVE,1,high
Morality,selfish,selfish,ADJECTIVE,1,low
Morality,selfless,selfles,ADJECTIVE,1,high
Morality,benevolent,benevolent,ADJECTIVE,1,high
Morality,benevolent,benevolent,ADJECTIVE,2,high
Morality,benevolent,benevolent,ADJECTIVE,3,high
Morality,benevolent,benevolent,ADJECTIVE,4,high
Morality,benevolence,benevolence,NOUN,1,high
Morality,threat,threat,NOUN,1,low
Morality,hardhearted,hardhearted,ADJECTIVE,1,low
Morality,hardhearted,hardhearted,ADJECTIVE,2,low
Morality,softhearted,softhearted,ADJECTIVE,1,high
Morality,loyal,loyal,ADJECTIVE,1,high
Morality,disloyal,disloyal,ADJECTIVE,2,low
Morality,fair,fair,ADJECTIVE,1,high
Morality,unfair,unfair,ADJECTIVE,1,low
Morality,tolerant,tolerant,ADJECTIVE,1,high
Morality,tolerant,tolerant,ADJECTIVE,2,high
Morality,intolerant,intolerant,ADJECTIVE,1,low
Morality,tolerance,tolerance,NOUN,2,high
Morality,intolerance,intolerance,NOUN,2,low
Morality,good,good,ADJECTIVE,3,high
Morality,bad,bad,ADJECTIVE,1,low
Morality,virtuous,virtuou,ADJECTIVE,1,high
Morality,kind,kind,ADJECTIVE,1,high
Morality,unkind,unkind,ADJECTIVE,1,low
Morality,unkind,unkind,ADJECTIVE,2,low
Morality,right,right,ADJECTIVE,3,high
Morality,right,right,ADJECTIVE,4,high
Morality,wrong,wrong,ADJECTIVE,2,low
Morality,mean,mean,ADJECTIVE,2,low
Morality,mean,mean,ADJECTIVE,3,low
Morality,kindness,kindnes,NOUN,1,high
Morality,honesty,honesty,NOUN,1,high
Morality,sincerity,sincerity,NOUN,2,high
Morality,honorable,honorable,ADJECTIVE,1,high
Morality,honorable,honorable,ADJECTIVE,3,high
Morality,dishonorable,dishonorable,ADJECTIVE,1,low
Morality,dishonorable,dishonorable,ADJECTIVE,2,low
Morality,corrupt,corrupt,ADJECTIVE,1,low
Morality,corrupt,corrupt,ADJECTIVE,2,low
Morality,incorrupt,incorrupt,ADJECTIVE,1,high
Morality,criminal,criminal,NOUN,1,low
Morality,criminal,criminal,ADJECTIVE,1,low
